threshold,precision,recall,f1,unit_accuracy,positive_unit_accuracy,unit_mae,false_positive_rate,predicted_positive_rows,actual_positive_rows
0.45,0.9368088467614534,0.9222395023328149,0.9294670846394985,0.9895616496213835,0.7931570762052877,0.01282167315292485,0.0025109067512005274,1266,1286
0.5,0.9409417398244214,0.916796267496112,0.928712091374557,0.9895314809786707,0.7877138413685848,0.012851841795637614,0.002322588744860488,1253,1286
0.4,0.9297423887587822,0.9261275272161742,0.9279314374756525,0.9894108064078198,0.797045101088647,0.012972516366488671,0.002824770095100593,1281,1286
0.6,0.9577814569536424,0.8996889580093312,0.9278267842822775,0.9895918182640963,0.7713841368584758,0.01282167315292485,0.0016007030538903362,1208,1286
0.3,0.9165402124430956,0.9393468118195957,0.9278033794162825,0.9893203004796814,0.8102643856920684,0.013063022294626964,0.003452496782900725,1318,1286
0.35,0.9216589861751152,0.9331259720062208,0.9273570324574961,0.9893203004796814,0.8040435458786936,0.013063022294626964,0.0032014061077806724,1302,1286
0.25,0.9132730015082956,0.9416796267496111,0.9272588055130169,0.9892599631942559,0.812597200622084,0.013123359580052493,0.0036094284548507578,1326,1286
0.65,0.9631181894383906,0.8934681181959565,0.9269866881807182,0.9895616496213835,0.7651632970451011,0.012851841795637614,0.00138099871316029,1193,1286
0.1,0.9112781954887218,0.942457231726283,0.926605504587156,0.9891996259088304,0.8133748055987559,0.013183696865478023,0.003703587458020778,1330,1286
0.05,0.9112781954887218,0.942457231726283,0.926605504587156,0.9891996259088304,0.8133748055987559,0.013183696865478023,0.003703587458020778,1330,1286
0.2,0.9112781954887218,0.942457231726283,0.926605504587156,0.9891996259088304,0.8133748055987559,0.013183696865478023,0.003703587458020778,1330,1286
0.15,0.9112781954887218,0.942457231726283,0.926605504587156,0.9891996259088304,0.8133748055987559,0.013183696865478023,0.003703587458020778,1330,1286
0.55,0.9493877551020408,0.9043545878693624,0.9263241736360015,0.9894108064078198,0.7752721617418351,0.012972516366488671,0.0019459527321804087,1225,1286
0.7,0.9691252144082333,0.8786936236391913,0.9216965742251224,0.9892297945515431,0.750388802488336,0.013153528222765257,0.0011299080380402372,1166,1286
0.75,0.9729493891797557,0.8670295489891136,0.9169407894736843,0.9890789513379793,0.7426127527216174,0.013364708721754609,0.0009729763660902043,1146,1286
0.8,0.9801980198019802,0.8468118195956454,0.9086357947434293,0.9886867589827134,0.7255054432348367,0.01399825021872266,0.000690499356580145,1111,1286
0.85,0.9860205032618826,0.8227060653188181,0.8969902501059771,0.9881437234138836,0.7060653188180405,0.01442061121670136,0.0004707950158500989,1073,1286
0.9,0.9900695134061569,0.7752721617418351,0.8696031399912778,0.9870274836335113,0.6734059097978227,0.01761848734425438,0.0003138633439000659,1007,1286
0.95,0.9942528735632183,0.6726283048211509,0.8024118738404452,0.984764835430054,0.6111975116640747,0.025251153950583763,0.00015693167195003296,870,1286
