time,round,file_index,file,epoch_in_file,rows_train_augmented,rows_validation_file,val_threshold,val_precision,val_recall,val_f1,val_unit_accuracy,val_positive_unit_accuracy,val_unit_mae,val_false_positive_rate,val_predicted_positive_rows,val_actual_positive_rows
1780018284.659074,1,1,"Daily Allocation - 127, 128, 706, 134 - 5.26.2026.xlsb",1,6946,1568,0.05,0.9333333333333333,0.08333333333333333,0.15300546448087432,0.8934948979591837,0.011904761904761904,0.28316326530612246,0.0007142857142857143,15.0,168.0
1780018286.661864,1,1,"Daily Allocation - 127, 128, 706, 134 - 5.26.2026.xlsb",2,6946,1568,0.75,0.9444444444444444,0.9107142857142857,0.9272727272727271,0.9298469387755102,0.39880952380952384,0.1753826530612245,0.0064285714285714285,162.0,168.0
1780018288.650826,1,1,"Daily Allocation - 127, 128, 706, 134 - 5.26.2026.xlsb",3,6946,1568,0.75,0.9627329192546584,0.9226190476190477,0.9422492401215807,0.9343112244897959,0.4226190476190476,0.13073979591836735,0.004285714285714286,161.0,168.0
1780018290.6281211,1,1,"Daily Allocation - 127, 128, 706, 134 - 5.26.2026.xlsb",4,6946,1568,0.75,0.9627329192546584,0.9226190476190477,0.9422492401215807,0.9394132653061225,0.47023809523809523,0.1090561224489796,0.004285714285714286,161.0,168.0
1780018292.60037,1,1,"Daily Allocation - 127, 128, 706, 134 - 5.26.2026.xlsb",5,6946,1568,0.75,0.9807692307692307,0.9107142857142857,0.9444444444444444,0.9464285714285714,0.5178571428571429,0.10012755102040816,0.002142857142857143,156.0,168.0
1780018294.608892,1,1,"Daily Allocation - 127, 128, 706, 134 - 5.26.2026.xlsb",6,6946,1568,0.75,0.9870967741935484,0.9107142857142857,0.9473684210526314,0.9508928571428571,0.5535714285714286,0.09247448979591837,0.0014285714285714286,155.0,168.0
1780018296.569031,1,1,"Daily Allocation - 127, 128, 706, 134 - 5.26.2026.xlsb",7,6946,1568,0.7,0.9935483870967742,0.9166666666666666,0.9535603715170278,0.9540816326530612,0.5773809523809523,0.08354591836734694,0.0007142857142857143,155.0,168.0
1780018298.60239,1,1,"Daily Allocation - 127, 128, 706, 134 - 5.26.2026.xlsb",8,6946,1568,0.35,0.9874213836477987,0.9345238095238095,0.9602446483180428,0.9553571428571429,0.5952380952380952,0.07908163265306123,0.0014285714285714286,159.0,168.0
1780018308.725816,1,2,"Daily Allocation - 130, 135, 114, 115, 153 - 5.26.2026.xlsb",1,27546,6630,0.15,0.983739837398374,0.9416342412451362,0.9622266401590458,0.9917043740573153,0.8015564202334631,0.012066365007541479,0.0006276478895339715,246.0,257.0
1780018316.636249,1,2,"Daily Allocation - 130, 135, 114, 115, 153 - 5.26.2026.xlsb",2,27546,6630,0.6,1.0,0.9455252918287937,0.972,0.9936651583710407,0.8365758754863813,0.00889894419306184,0.0,243.0,257.0
1780018324.665809,1,2,"Daily Allocation - 130, 135, 114, 115, 153 - 5.26.2026.xlsb",3,27546,6630,0.45,1.0,0.953307392996109,0.9760956175298805,0.9942684766214178,0.8521400778210116,0.008144796380090498,0.0,245.0,257.0
1780018332.757149,1,2,"Daily Allocation - 130, 135, 114, 115, 153 - 5.26.2026.xlsb",4,27546,6630,0.3,1.0,0.9571984435797666,0.978131212723658,0.9945701357466064,0.8599221789883269,0.007239819004524887,0.0,246.0,257.0
1780018341.1625211,1,2,"Daily Allocation - 130, 135, 114, 115, 153 - 5.26.2026.xlsb",5,27546,6630,0.15,1.0,0.953307392996109,0.9760956175298805,0.9947209653092006,0.8638132295719845,0.006636500754147813,0.0,245.0,257.0
1780018349.8156228,1,2,"Daily Allocation - 130, 135, 114, 115, 153 - 5.26.2026.xlsb",6,27546,6630,0.15,1.0,0.953307392996109,0.9760956175298805,0.9945701357466064,0.8599221789883269,0.006636500754147813,0.0,245.0,257.0
1780018358.484501,1,2,"Daily Allocation - 130, 135, 114, 115, 153 - 5.26.2026.xlsb",7,27546,6630,0.2,1.0,0.953307392996109,0.9760956175298805,0.9945701357466064,0.8599221789883269,0.006636500754147813,0.0,245.0,257.0
1780018367.286381,1,2,"Daily Allocation - 130, 135, 114, 115, 153 - 5.26.2026.xlsb",8,27546,6630,0.25,0.9959349593495935,0.953307392996109,0.9741550695825051,0.9945701357466064,0.8638132295719845,0.006485671191553545,0.00015691197238349287,246.0,257.0
